Name,Type,County,,,
Solana Beach,City,San Diego,,,
Soledad,City,Monterey,,,
Solvang,City,Santa Barbara,,,
Sonoma,City,Sonoma,,,
Sonora,City,Tuolumne,,,
South El Monte,City,Los Angeles,,,
South Gate,City,Los Angeles,,,
South Lake Tahoe,City,El Dorado,,,
South Pasadena,City,Los Angeles,,,
South San Francisco,City,San Mateo,,,
St. Helena,City,Napa,,,
Stanton,City,Orange,,,
Stockton,City,San Joaquin,,,
Suisun City,City,Solano,,,
Sunnyvale,City,Santa Clara,,,
Susanville,City,Lassen,,,
Sutter Creek,City,Amador,,,
Taft,City,Kern,,,
Tehachapi,City,Kern,,,
Tehama,City,Tehama,,,
Temecula,City,Riverside,,,
Temple City,City,Los Angeles,,,
Thousand Oaks,City,Ventura,,,
Tiburon,Town,Marin,,,
Torrance,City,Los Angeles,,,
Tracy,City,San Joaquin,,,
Trinidad,City,Humboldt,,,
Truckee,Town,Nevada,,,
Tulare,City,Tulare,,,
Tulelake,City,Siskiyou,,,
Turlock,City,Stanislaus,,,
Tustin,City,Orange,,,
Twentynine Palms,City,San Bernardino,,,
Ukiah,City,Mendocino,,,
Union City,City,Alameda,,,
Upland,City,San Bernardino,,,
Vacaville,City,Solano,,,
Vallejo,City,Solano,,,
Ventura,City,Ventura,,,
Vernon,City,Los Angeles,,,
Victorville,City,San Bernardino,,,
Villa Park,City,Orange,,,
Visalia,City,Tulare,,,
Vista,City,San Diego,,,
Walnut,City,Los Angeles,,,
Walnut Creek,City,Contra Costa,,,
Wasco,City,Kern,,,
Waterford,City,Stanislaus,,,
Watsonville,City,Santa Cruz,,,
Weed,City,Siskiyou,,,
West Covina,City,Los Angeles,,,
West Hollywood,City,Los Angeles,,,
West Sacramento,City,Yolo,,,
Westlake Village,City,Los Angeles,,,
Westminster,City,Orange,,,
Westmorland,City,Imperial,,,
Wheatland,City,Yuba,,,
Whittier,City,Los Angeles,,,
Wildomar,City,Riverside,,,
Williams,City,Colusa,,,
Willits,City,Mendocino,,,
Willows,City,Glenn,,,
Windsor,Town,Sonoma,,,
Winters,City,Yolo,,,
Woodlake,City,Tulare,,,
Woodland,City,Yolo,,,
Woodside,Town,San Mateo,,,
Yorba Linda,City,Orange,,,
Yountville,Town,Napa,,,
Yreka,City,Siskiyou,,,
Yuba City,City,Sutter,,,
Yucaipa,City,San Bernardino,,,
Yucca Valley,Town,San Bernardino,,,
